year,destination,orign,refugees_value,AS_value
2014,Jordan,Syrian Arab Rep.,623112,0
2004,Lebanon,Syrian Arab Rep.,0,0
2005,Lebanon,Syrian Arab Rep.,0,0
2006,Lebanon,Syrian Arab Rep.,6,18
2007,Lebanon,Syrian Arab Rep.,48,42
2008,Lebanon,Syrian Arab Rep.,84,66
2009,Lebanon,Syrian Arab Rep.,90,100
2010,Lebanon,Syrian Arab Rep.,64,141
2011,Lebanon,Syrian Arab Rep.,124,367
2012,Lebanon,Syrian Arab Rep.,126939,242
2013,Lebanon,Syrian Arab Rep.,851284,331
2014,Lebanon,Syrian Arab Rep.,1147494,417
2006,Libya,Syrian Arab Rep.,0,8
2007,Libya,Syrian Arab Rep.,2,9
2008,Libya,Syrian Arab Rep.,0,12
2009,Libya,Syrian Arab Rep.,0,8
2012,Libya,Syrian Arab Rep.,0,3794
2013,Libya,Syrian Arab Rep.,16796,
2014,Libya,Syrian Arab Rep.,18653,
2010,Luxembourg,Syrian Arab Rep.,0,15
2013,Luxembourg,Syrian Arab Rep.,5,23
2014,Luxembourg,Syrian Arab Rep.,59,60
2012,Montenegro,Syrian Arab Rep.,0,7
2013,Montenegro,Syrian Arab Rep.,0,60
2014,Montenegro,Syrian Arab Rep.,0,36
2004,Netherlands,Syrian Arab Rep.,1588,549
2005,Netherlands,Syrian Arab Rep.,1674,336
2006,Netherlands,Syrian Arab Rep.,1559,362
2007,Netherlands,Syrian Arab Rep.,1421,0
2008,Netherlands,Syrian Arab Rep.,1326,0
2009,Netherlands,Syrian Arab Rep.,1254,98
2010,Netherlands,Syrian Arab Rep.,1186,133
2011,Netherlands,Syrian Arab Rep.,1064,231
2012,Netherlands,Syrian Arab Rep.,1449,231
2013,Netherlands,Syrian Arab Rep.,3404,0
2014,Netherlands,Syrian Arab Rep.,8692,2323
2004,Norway,Syrian Arab Rep.,132,
2005,Norway,Syrian Arab Rep.,144,
2006,Norway,Syrian Arab Rep.,146,82
2007,Norway,Syrian Arab Rep.,149,86
2008,Norway,Syrian Arab Rep.,154,122
2009,Norway,Syrian Arab Rep.,152,297
2010,Norway,Syrian Arab Rep.,186,192
2011,Norway,Syrian Arab Rep.,171,336
2012,Norway,Syrian Arab Rep.,565,306
2013,Norway,Syrian Arab Rep.,1311,259
2014,Norway,Syrian Arab Rep.,2568,828
2004,Oman,Syrian Arab Rep.,0,1
2005,Oman,Syrian Arab Rep.,7,1
2006,Oman,Syrian Arab Rep.,7,1
2007,Oman,Syrian Arab Rep.,7,1
2008,Oman,Syrian Arab Rep.,7,0
2009,Oman,Syrian Arab Rep.,7,
2010,Oman,Syrian Arab Rep.,7,
2011,Oman,Syrian Arab Rep.,7,4
2012,Oman,Syrian Arab Rep.,7,4
2013,Oman,Syrian Arab Rep.,7,4
2014,Oman,Syrian Arab Rep.,7,6
2004,Poland,Syrian Arab Rep.,4,5
2005,Poland,Syrian Arab Rep.,6,7
2006,Poland,Syrian Arab Rep.,7,2
2007,Poland,Syrian Arab Rep.,8,4
2008,Poland,Syrian Arab Rep.,8,4
2009,Poland,Syrian Arab Rep.,8,3
2010,Poland,Syrian Arab Rep.,8,8
2011,Poland,Syrian Arab Rep.,10,10
2012,Poland,Syrian Arab Rep.,17,83
2013,Poland,Syrian Arab Rep.,108,100
2014,Poland,Syrian Arab Rep.,240,34
2004,Saudi Arabia,Syrian Arab Rep.,0,0
2005,Saudi Arabia,Syrian Arab Rep.,0,0
2006,Saudi Arabia,Syrian Arab Rep.,0,0
2007,Saudi Arabia,Syrian Arab Rep.,5,10
2008,Saudi Arabia,Syrian Arab Rep.,14,0
2009,Saudi Arabia,Syrian Arab Rep.,14,6
2010,Saudi Arabia,Syrian Arab Rep.,14,7
2011,Saudi Arabia,Syrian Arab Rep.,14,12
2012,Saudi Arabia,Syrian Arab Rep.,14,12
2013,Saudi Arabia,Syrian Arab Rep.,14,12
2014,Saudi Arabia,Syrian Arab Rep.,18,12
2004,Slovakia,Syrian Arab Rep.,0,16
2005,Slovakia,Syrian Arab Rep.,0,10
2006,Slovakia,Syrian Arab Rep.,0,10
2007,Slovakia,Syrian Arab Rep.,13,1
2008,Slovakia,Syrian Arab Rep.,14,0
2009,Slovakia,Syrian Arab Rep.,20,0
2010,Slovakia,Syrian Arab Rep.,22,0
2011,Slovakia,Syrian Arab Rep.,23,0
2012,Slovakia,Syrian Arab Rep.,24,0
2013,Slovakia,Syrian Arab Rep.,26,0
2014,Slovakia,Syrian Arab Rep.,40,0
2011,Slovenia,Syrian Arab Rep.,0,6
2012,Slovenia,Syrian Arab Rep.,2,8
2013,Slovenia,Syrian Arab Rep.,9,2
2014,Slovenia,Syrian Arab Rep.,20,8
2004,Sweden,Syrian Arab Rep.,940,606
2005,Sweden,Syrian Arab Rep.,1032,367
2006,Sweden,Syrian Arab Rep.,1065,462
2007,Sweden,Syrian Arab Rep.,1081,544
2008,Sweden,Syrian Arab Rep.,1084,617
2009,Sweden,Syrian Arab Rep.,1118,594
2010,Sweden,Syrian Arab Rep.,1169,371
2011,Sweden,Syrian Arab Rep.,1206,485
2012,Sweden,Syrian Arab Rep.,6051,3751
2013,Sweden,Syrian Arab Rep.,17984,6808
2014,Sweden,Syrian Arab Rep.,34285,19011
2004,Switzerland,Syrian Arab Rep.,179,106
2005,Switzerland,Syrian Arab Rep.,294,91
2006,Switzerland,Syrian Arab Rep.,388,117
2007,Switzerland,Syrian Arab Rep.,430,299
2008,Switzerland,Syrian Arab Rep.,626,575
2009,Switzerland,Syrian Arab Rep.,661,723
2010,Switzerland,Syrian Arab Rep.,694,859
2011,Switzerland,Syrian Arab Rep.,1074,1066
2012,Switzerland,Syrian Arab Rep.,1391,1692
2013,Switzerland,Syrian Arab Rep.,2012,2849
2014,Switzerland,Syrian Arab Rep.,5161,3501
2004,Syrian Arab Rep.,Syrian Arab Rep.,0,0
2005,Syrian Arab Rep.,Syrian Arab Rep.,0,0
2006,Syrian Arab Rep.,Syrian Arab Rep.,1,8
2007,Syrian Arab Rep.,Syrian Arab Rep.,0,0
2008,Syrian Arab Rep.,Syrian Arab Rep.,0,0
2009,Syrian Arab Rep.,Syrian Arab Rep.,0,0
2010,Syrian Arab Rep.,Syrian Arab Rep.,0,0
2011,Syrian Arab Rep.,Syrian Arab Rep.,0,0
2012,Syrian Arab Rep.,Syrian Arab Rep.,0,2016500
2013,Syrian Arab Rep.,Syrian Arab Rep.,0,6520800
2014,Syrian Arab Rep.,Syrian Arab Rep.,0,7632500
2004,Tunisia,Syrian Arab Rep.,5,0
2005,Tunisia,Syrian Arab Rep.,5,0
2006,Tunisia,Syrian Arab Rep.,5,0
2007,Tunisia,Syrian Arab Rep.,5,0
2008,Tunisia,Syrian Arab Rep.,5,0
2009,Tunisia,Syrian Arab Rep.,5,0
2010,Tunisia,Syrian Arab Rep.,5,0
2011,Tunisia,Syrian Arab Rep.,11,0
2012,Tunisia,Syrian Arab Rep.,6,30
2013,Tunisia,Syrian Arab Rep.,164,0
2014,Tunisia,Syrian Arab Rep.,558,0
2004,Turkey,Syrian Arab Rep.,0,14
2005,Turkey,Syrian Arab Rep.,12,7
2006,Turkey,Syrian Arab Rep.,2,5
2007,Turkey,Syrian Arab Rep.,5,19
2008,Turkey,Syrian Arab Rep.,12,21
2009,Turkey,Syrian Arab Rep.,8,56
2010,Turkey,Syrian Arab Rep.,9,65
2011,Turkey,Syrian Arab Rep.,19,205
2012,Turkey,Syrian Arab Rep.,248466,200
2013,Turkey,Syrian Arab Rep.,585601,110
2014,Turkey,Syrian Arab Rep.,1557899,250
2004,United Arab Emirates,Syrian Arab Rep.,34,25
2005,United Arab Emirates,Syrian Arab Rep.,34,55
2006,United Arab Emirates,Syrian Arab Rep.,71,10
2007,United Arab Emirates,Syrian Arab Rep.,30,18
2008,United Arab Emirates,Syrian Arab Rep.,21,22
2009,United Arab Emirates,Syrian Arab Rep.,21,25
2010,United Arab Emirates,Syrian Arab Rep.,34,9
2011,United Arab Emirates,Syrian Arab Rep.,37,6
2012,United Arab Emirates,Syrian Arab Rep.,16,14
2013,United Arab Emirates,Syrian Arab Rep.,16,14
2014,United Arab Emirates,Syrian Arab Rep.,28,12
2004,United Kingdom,Syrian Arab Rep.,44,0
2005,United Kingdom,Syrian Arab Rep.,208,0
2006,United Kingdom,Syrian Arab Rep.,286,0
2007,United Kingdom,Syrian Arab Rep.,364,0
2008,United Kingdom,Syrian Arab Rep.,395,0
2009,United Kingdom,Syrian Arab Rep.,460,0
2010,United Kingdom,Syrian Arab Rep.,499,0
2011,United Kingdom,Syrian Arab Rep.,693,339
2012,United Kingdom,Syrian Arab Rep.,1717,389
2013,United Kingdom,Syrian Arab Rep.,3169,641
2014,United Kingdom,Syrian Arab Rep.,4572,1329
2004,Yemen,Syrian Arab Rep.,25,43
2005,Yemen,Syrian Arab Rep.,25,33
2006,Yemen,Syrian Arab Rep.,25,38
2007,Yemen,Syrian Arab Rep.,32,41
2008,Yemen,Syrian Arab Rep.,32,44
2009,Yemen,Syrian Arab Rep.,40,38
2010,Yemen,Syrian Arab Rep.,52,34
2011,Yemen,Syrian Arab Rep.,42,24
2012,Yemen,Syrian Arab Rep.,42,131
2013,Yemen,Syrian Arab Rep.,54,1761
2014,Yemen,Syrian Arab Rep.,2276,1039
